ID,TahunID,ProdiID,ProgramID,MKID,HariID,DosenID,AsistenType,AsistenID,RuangID,WaktuID,WaktuID2,JamMulai,JamSelesai,JumlahMhsw,UTSTanggal,UTSJamMulai,UTSJamSelesai,UTSRuangID,UASTanggal,UASJamMulai,UASJamSelesai,UASRuangID,Elearning,gabungan,IDJadwalGabungan,MKKode,KelasID,GrupKelasID,UTSPengawas1,UTSPengawas2,UASPengawas1,UASPengawas2,status,KodeWaktu,Teamteaching,Force,Bond,glue,Penanda
123,3,6,1,1,4,13,NULL,NULL,2,3,4,10:00:00,11:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,44,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
124,3,7,1,1,4,13,NULL,NULL,2,3,4,10:00:00,11:50:00,5,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,44,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
125,3,13,1,1,4,13,NULL,NULL,2,3,4,10:00:00,11:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,44,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
126,3,6,1,1,4,13,NULL,NULL,5,6,7,13:00:00,14:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,45,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
127,3,7,1,1,4,13,NULL,NULL,5,6,7,13:00:00,14:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,45,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
128,3,13,1,1,4,13,NULL,NULL,5,6,7,13:00:00,14:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,45,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
133,3,6,1,4,6,25,NULL,NULL,2,1,2,08:00:00,09:50:00,30,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,48,SOC1001,1,15,0,0,0,0,Y,,1,0,D,4_1_15_3,Z
134,3,7,1,4,6,25,NULL,NULL,2,1,2,08:00:00,09:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,48,SOC1001,1,15,0,0,0,0,Y,,1,0,D,4_1_15_3,Z
135,3,6,1,4,6,25,NULL,NULL,2,3,4,10:00:00,11:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,49,SOC1001,1,13,0,0,0,0,Y,,1,0,D,4_1_13_3,Z
136,3,7,1,4,6,25,NULL,NULL,2,3,4,10:00:00,11:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,49,SOC1001,1,13,0,0,0,0,Y,,1,0,D,4_1_13_3,Z
137,3,3,1,3,2,8,NULL,NULL,3,3,4,10:00:00,11:50:00,12,0000-00-00,10:00:00,11:50:00,3,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,3,UNI1001,1,5,0,0,0,0,Y,,0,0,A,3_1_5_3,A
141,3,13,1,3,2,8,NULL,NULL,3,3,4,10:00:00,11:50:00,10,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,3,UNI1001,1,5,0,0,0,0,Y,,0,0,A,3_1_5_3,A
142,3,3,1,2,2,47,NULL,NULL,5,3,4,10:00:00,11:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,41,UNI1003,1,7,0,0,0,0,Y,,0,0,B,2_1_7_3,B
146,3,13,1,2,2,47,NULL,NULL,5,3,4,10:00:00,11:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,41,UNI1003,1,7,0,0,0,0,Y,,0,0,B,2_1_7_3,B
149,3,13,1,1,2,13,NULL,NULL,4,3,4,10:00:00,11:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,4,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
242,3,6,1,1,2,13,NULL,NULL,4,3,4,10:00:00,11:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,4,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
243,3,7,1,1,2,13,NULL,NULL,4,3,4,10:00:00,11:50:00,4,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,4,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
244,3,3,1,3,2,8,NULL,NULL,4,6,7,13:00:00,14:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,5,UNI1001,1,7,0,0,0,0,Y,,1,0,A,3_1_7_3,B
245,3,4,1,3,2,8,NULL,NULL,4,6,7,13:00:00,14:50:00,6,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,5,UNI1001,1,7,0,0,0,0,Y,,1,0,A,3_1_7_3,B
246,3,6,1,3,3,8,NULL,NULL,3,3,4,10:00:00,11:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,10,UNI1001,1,8,0,0,0,0,Y,,1,0,A,3_1_8_3,C
247,3,7,1,3,3,8,NULL,NULL,3,3,4,10:00:00,11:50:00,5,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,10,UNI1001,1,8,0,0,0,0,Y,,1,0,A,3_1_8_3,C
248,3,13,1,3,3,8,NULL,NULL,3,3,4,10:00:00,11:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,10,UNI1001,1,8,0,0,0,0,Y,,1,0,A,3_1_8_3,C
249,3,4,1,1,2,13,NULL,NULL,5,6,7,13:00:00,14:50:00,7,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,42,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
255,3,3,1,2,2,47,NULL,NULL,3,6,7,13:00:00,14:50:00,10,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,52,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
256,3,4,1,2,2,47,NULL,NULL,3,6,7,13:00:00,14:50:00,18,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,52,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
257,3,6,1,2,2,47,NULL,NULL,3,6,7,13:00:00,14:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,52,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
258,3,7,1,2,2,47,NULL,NULL,3,6,7,13:00:00,14:50:00,4,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,52,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
259,3,13,1,2,2,47,NULL,NULL,3,6,7,13:00:00,14:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,52,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
260,3,3,1,2,3,47,NULL,NULL,5,3,4,10:00:00,11:50:00,15,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,11,UNI1003,1,5,0,0,0,0,Y,,1,0,B,2_1_5_3,A
261,3,4,1,2,3,47,NULL,NULL,5,3,4,10:00:00,11:50:00,7,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,11,UNI1003,1,5,0,0,0,0,Y,,1,0,B,2_1_5_3,A
262,3,4,1,1,3,13,NULL,NULL,2,3,4,10:00:00,11:50:00,6,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,43,UNI1004,1,6,0,0,0,0,Y,,1,0,C,1_1_6_3,B
271,3,6,1,4,3,25,NULL,NULL,4,6,7,13:00:00,14:50:00,25,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,53,SOC1001,1,13,0,0,0,0,Y,,1,0,D,4_1_13_3,Z
272,3,7,1,4,3,25,NULL,NULL,4,6,7,13:00:00,14:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,53,SOC1001,1,13,0,0,0,0,Y,,1,0,D,4_1_13_3,Z
275,3,6,1,5,3,4,NULL,NULL,3,6,7,13:00:00,14:50:00,30,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,55,UNI1002,1,15,0,0,0,0,Y,,0,0,E,5_1_15_3,Z
276,3,7,1,5,3,4,NULL,NULL,3,6,7,13:00:00,14:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,55,UNI1002,1,15,0,0,0,0,Y,,0,0,E,5_1_15_3,Z
277,3,3,1,3,4,8,NULL,NULL,3,3,4,10:00:00,11:50:00,15,0000-00-00,10:00:00,11:50:00,3,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,16,UNI1001,1,5,0,0,0,0,Y,,1,0,A,3_1_5_3,A
