ID,CurriculumID,Semester,CurriculumTypeID,ProdiID,EducationLevelID,MKID,MKCode,MKType,LecturerNIP,CoursesGroupsID,TotalSKS,SKSTeori,SKSPraktikum,SKSPraktikLapangan,StatusMK,PreconditionMKID,StatusSilabus,StatusSAP,UpdateBy,UpdateAt
107,1,4,1,1,NULL,163,CEM0009A,0,2214036,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
108,1,4,1,1,NULL,103,MKU003,1,3015016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
109,1,4,1,1,NULL,89,MKU002,1,3015016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
110,1,4,1,4,NULL,104,SOC4005,1,1115027,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
111,1,4,1,4,NULL,108,SOC4009,1,1115018,NULL,1,1,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
112,1,4,1,4,NULL,105,SOC4006,1,1114080,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
113,1,4,1,4,NULL,106,SOC4007,1,1115054,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
114,1,4,2,4,NULL,107,SOC4008,1,1115027,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
115,1,4,1,4,NULL,53,SOC3001,1,1215032,NULL,3,3,0,0,NULL,5,0,0,2017090,1/8/2018 10:10
116,1,4,2,5,NULL,126,HBP4017T,1,3114038,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
117,1,4,2,5,NULL,127,HBP4017P,1,3114038,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
118,1,4,1,5,NULL,128,HBP4013,1,3114016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
119,1,4,1,5,NULL,129,HBP4014,1,3115006,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
120,1,4,1,5,NULL,130,HBP4011,1,3114039,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
121,1,4,1,2,NULL,144,CEM4041,1,2215008,NULL,3,3,0,0,NULL,43,0,0,2017090,1/8/2018 10:10
122,1,4,1,2,NULL,145,CEM4042,1,2215017,NULL,3,2,1,0,NULL,70,0,0,2017090,1/8/2018 10:10
123,1,4,1,2,NULL,146,CEM4051,1,2215017,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
124,1,4,1,2,NULL,147,CEM4052,1,2215017,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
125,1,4,1,2,NULL,148,CEM3051,1,2215084,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
126,1,4,1,2,NULL,150,CEM4055,1,2214036,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
127,1,4,1,5,NULL,105,SOC4006,1,3114016,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
128,1,4,1,5,NULL,104,SOC4005,1,3114016,NULL,3,2,1,0,NULL,,0,0,2017090,2018-01-08 10:10:10
129,1,4,1,4,NULL,117,ACC4003,1,1215032,NULL,4,4,0,0,NULL,60,0,0,2017090,1/8/2018 10:10
130,1,4,1,2,NULL,161,CEM6051,1,2215010,NULL,3,3,0,0,NULL,26,0,0,2017090,1/8/2018 10:10
131,1,7,2,2,NULL,103,MKU003,1,3015016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
132,1,6,2,3,NULL,103,MKU003,1,3016009,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
133,1,6,1,4,NULL,164,ACC6006,1,1215032,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
