ID,SemesterID,ProgramsCampusID,BaseProdiID,MKID,MKCode,Teacher,TeamTeaching,DayID,ClassroomID,ClassGroup,StartSessions,EndSessions
953,6,1,4,141,CEM0007,2215084,0,3,2,110,13:00:00,14:50:00
954,6,1,4,145,CEM4042,2215055,0,5,16,111,13:00:00,15:50:00
955,6,1,4,150,CEM4055,2214036,0,4,2,111,09:00:00,11:50:00
956,6,1,4,146,CEM4051,2215084,0,3,16,111,09:00:00,11:50:00
958,6,1,4,138,CEM0004,2214066,0,5,4,110,13:00:00,14:50:00
959,6,1,4,144,CEM4041,2215008,0,2,10,111,13:00:00,15:50:00
960,6,1,4,140,CEM0006,2214036,1,6,2,110,09:00:00,11:50:00
961,6,1,4,148,CEM3051,2215084,0,6,2,111,14:00:00,16:50:00
963,6,1,14,133,LAW0007,3015047,0,3,10,112,08:00:00,09:50:00
964,6,1,14,137,LAW0011,3016014,0,3,10,112,13:00:00,14:50:00
966,6,1,14,134,LAW0008,3015016,0,4,10,112,13:00:00,14:50:00
967,6,1,14,132,LAW0006,3015034,0,2,10,112,10:00:00,11:50:00
968,6,1,14,136,LAW0010,3015016,0,5,10,112,13:00:00,15:50:00
969,6,1,14,135,LAW0009,3015064,0,6,10,112,14:00:00,16:50:00
970,6,1,6,112,PUN0005,1114055,1,2,5,113,08:00:00,09:50:00
971,6,1,7,112,PUN0005,1114055,1,2,5,113,08:00:00,09:50:00
972,6,1,6,112,PUN0005,1114055,1,2,5,114,10:00:00,11:50:00
973,6,1,7,112,PUN0005,1114055,1,2,5,114,10:00:00,11:50:00
974,6,1,6,107,SOC4008,1115027,1,2,16,119,13:00:00,14:50:00
975,6,1,7,107,SOC4008,1115027,1,2,16,119,13:00:00,14:50:00
976,6,1,6,104,SOC4005,1114055,1,5,17,123,13:00:00,15:50:00
977,6,1,7,104,SOC4005,1114055,1,5,17,123,13:00:00,15:50:00
980,6,1,6,113,PUN0006,1114048,1,3,3,118,15:00:00,16:50:00
981,6,1,7,113,PUN0006,1114048,1,3,3,118,15:00:00,16:50:00
982,6,1,6,109,ENT4002,1115054,1,4,16,115,10:00:00,11:50:00
983,6,1,6,115,PUN0008,1114080,1,4,17,120,08:00:00,09:50:00
984,6,1,7,115,PUN0008,1114080,1,4,17,120,08:00:00,09:50:00
985,6,1,6,111,PUN0003,1014023,1,4,17,122,10:00:00,11:50:00
986,6,1,7,111,PUN0003,1014023,1,4,17,122,10:00:00,11:50:00
987,6,1,6,110,PUN0004,1114080,1,4,17,95,13:00:00,14:50:00
988,6,1,6,107,SOC4008,1115027,1,4,16,119,13:00:00,14:50:00
989,6,1,7,107,SOC4008,1115027,1,4,16,119,13:00:00,14:50:00
990,6,1,13,105,SOC4006,1015022,0,2,15,107,10:00:00,11:50:00
991,6,1,6,112,PUN0005,1114055,1,5,18,113,08:00:00,09:50:00
992,6,1,7,112,PUN0005,1114055,1,5,18,113,08:00:00,09:50:00
993,6,1,6,112,PUN0005,1114055,1,5,18,114,10:00:00,11:50:00
994,6,1,7,112,PUN0005,1114055,1,5,18,114,10:00:00,11:50:00
995,6,1,6,113,PUN0006,1114048,1,2,3,118,13:00:00,14:50:00
996,6,1,7,113,PUN0006,1114048,1,2,3,118,13:00:00,14:50:00
999,6,1,6,105,SOC4006,1114080,1,5,17,124,09:00:00,11:50:00
1000,6,1,7,105,SOC4006,1114080,1,5,17,124,09:00:00,11:50:00
1001,6,1,6,108,SOC4009,1115027,1,2,16,121,15:00:00,15:50:00
1002,6,1,7,108,SOC4009,1115027,1,2,16,121,15:00:00,15:50:00
1003,6,1,6,115,PUN0008,1114080,1,6,15,120,08:00:00,09:50:00
1004,6,1,7,115,PUN0008,1114080,1,6,15,120,08:00:00,09:50:00
1005,6,1,6,111,PUN0003,1014023,1,6,15,122,10:00:00,11:50:00
1006,6,1,7,111,PUN0003,1014023,1,6,15,122,10:00:00,11:50:00
1007,6,1,6,109,ENT4002,1115054,1,6,5,115,10:00:00,11:50:00
1008,6,1,6,110,PUN0004,1114080,1,6,17,95,14:00:00,15:50:00
1009,6,1,6,110,PUN0004,1114080,1,6,17,95,14:00:00,15:50:00
1010,6,1,6,106,SOC4007,1115054,0,6,5,117,14:00:00,16:50:00
1011,6,1,7,106,SOC4007,1115054,0,6,5,117,14:00:00,16:50:00
1012,6,1,6,110,PUN0004,1114080,1,4,17,95,13:00:00,14:50:00
1013,6,1,7,116,ACC0001,1215032,0,3,1,125,10:00:00,11:50:00
1014,6,1,7,117,ACC4003,1215043,0,4,5,126,10:00:00,11:50:00
1015,6,1,7,117,ACC4003,1215043,0,2,16,126,10:00:00,11:50:00
1016,6,1,7,53,SOC3001,1214044,0,3,15,126,09:00:00,11:50:00
1017,6,1,6,114,PUN0007,1114048,0,3,3,118,13:00:00,14:50:00
1018,6,1,7,114,PUN0007,1114048,0,3,3,118,13:00:00,14:50:00
1021,6,1,6,111,PUN0003,1115045,0,5,18,127,13:00:00,14:50:00
1022,6,1,7,111,PUN0003,1115045,0,5,18,127,13:00:00,14:50:00
1023,6,1,6,111,PUN0003,1115045,0,4,15,127,10:00:00,11:50:00
1024,6,1,7,111,PUN0003,1115045,0,4,15,127,10:00:00,11:50:00
1025,6,1,14,162,LAW0005A,3015087,0,4,10,112,10:00:00,11:50:00
1026,5,1,6,3,UNI1001,1114005,1,4,3,5,10:00:00,11:50:00
1027,5,1,6,1,UNI1004,1114053,1,2,5,4,13:00:00,14:50:00
1028,6,1,4,139,CEM0005,2616007,0,5,10,110,09:00:00,11:50:00
1037,6,1,3,158,ARC4044,2114041,1,2,6,94,08:00:00,09:50:00
1038,6,1,3,158,ARC4044,2114041,1,2,6,94,10:00:00,11:50:00
1039,6,1,3,158,ARC4044,2115059,1,2,6,94,13:00:00,14:50:00
1040,6,1,3,158,ARC4044,2115059,1,2,6,94,15:00:00,16:50:00
1041,6,1,3,103,MKU003,3016009,0,6,16,77,08:00:00,09:50:00
1042,6,1,4,103,MKU003,3016009,0,6,16,77,08:00:00,09:50:00
1043,6,1,6,103,MKU003,3016009,0,6,16,77,08:00:00,09:50:00
1044,6,1,4,161,CEM6051,2215010,0,2,8,111,09:00:00,11:50:00
1045,6,1,13,118,HOT0008,1015022,0,2,4,106,08:00:00,09:50:00
1046,6,1,13,118,HOT0008,3115006,0,2,4,103,10:00:00,11:50:00
1047,6,1,13,126,HBP4017T,3115061,0,2,18,109,08:00:00,09:50:00
1048,6,1,7,164,ACC6006,1216016,0,3,16,126,13:00:00,14:50:00
1049,6,1,7,164,ACC6006,1216016,0,5,10,126,16:00:00,17:50:00
1050,6,1,3,35,ARC2022,2114041,0,2,5,20,13:00:00,15:50:00
