MKID,SemesterID,ProgramCampusID,MKCode,ClassGroup,NIP,DayID,StartSessions,EndSessions,ClassroomID,UpdateBy,UpdateAt
419,7,1,HOT0020,HBP13C-2,3114039,1,13:00,16:20,24,2017275,2018-01-30 22:35:197
420,7,1,HOT0019,HBP12C-2,3114039,1,10:00,11:40,24,2017276,2018-01-30 22:35:198
444,7,1,HOT0047,HBP622,3114039,3,13:00,14:40,24,2017277,2018-01-30 22:35:199
380,7,1,CEM2224,CEM13,2215017,2,9:00,11:30,24,2017278,2018-01-30 22:35:200
417,7,1,PUN0016,HBP11B,3117039,3,8:00,10:30,24,2017279,2018-01-30 22:35:201
417,7,1,PUN0016,HBP11C,3117039,4,8:00,10:30,24,2017280,2018-01-30 22:35:202
111,7,1,PUN0003,HBP17A,1117056,5,13:00,16:20,24,2017281,2018-01-30 22:35:203
111,7,1,PUN0003,HBP17C,1117056,5,8:00,11:40,24,2017282,2018-01-30 22:35:204
516,7,1,ENT2111,ENT5,1017082,2,13:00,15:30,24,2017283,2018-01-30 22:35:205
389,7,1,LAW1205,LAW6,3017098,4,13:00,15:30,24,2017284,2018-01-30 22:35:206
553,7,1,HOT0054,HBP33,3115006,5,8:00,16:00,25,2017285,2018-01-30 22:35:207
121,7,1,HOT0011,HBP5A-1,3114039,2,8:00,11:20,26,2017286,2018-01-30 22:35:208
121,7,1,HOT0011,HBP5A-2,3114039,2,13:00,16:20,26,2017287,2018-01-30 22:35:209
445,7,1,HOT0048,HBP6231,3114039,5,8:00,11:20,26,2017288,2018-01-30 22:35:210
445,7,1,HOT0048,HBP6232,3116015,5,13:00,16:20,26,2017289,2018-01-30 22:35:211
121,7,1,HOT0011,HBP5C-1,3117022,3,13:00,16:20,26,2017290,2018-01-30 22:35:212
121,7,1,HOT0011,HBP5C-2,3117022,3,8:00,11:20,26,2017291,2018-01-30 22:35:213
416,7,1,ACC3216,ACC11,1214044,4,10:00,11:40,27,2017292,2018-01-30 22:35:214
434,7,1,ACC3220,ACC14,1214044,4,13:00,16:20,27,2017293,2018-01-30 22:35:215
435,7,1,ACC3217,ACC12,1215032,5,8:00,10:30,27,2017294,2018-01-30 22:35:216
293,7,1,ACC3147,ACC16,1215043,1,13:00,15:30,27,2017295,2018-01-30 22:35:217
400,7,1,ACC1202,ACC3,1215043,5,14:00,14:50,27,2017296,2018-01-30 22:35:218
409,7,1,ACC2207,ACC7,1215043,2,8:00,11:20,27,2017297,2018-01-30 22:35:219
433,7,1,ACC3218,ACC13,1217005,1,8:00,11:20,27,2017298,2018-01-30 22:35:220
429,7,1,ENT3380,ENT12,1116036,3,8:00,11:20,28,2017299,2018-01-30 22:35:221
517,7,1,ENT4181,ENT15,1116036,5,13:00,18:00,28,2017300,2018-01-30 22:35:222
518,7,1,ENT4291,ENT14,1116066,1,8:00,13:00,28,2017301,2018-01-30 22:35:223
123,7,1,HOT0013,HBP7C-1,3116015,2,8:00,11:20,29,2017302,2018-01-30 22:35:224
123,7,1,HOT0013,HBP7C-2,3116015,2,13:00,16:20,29,2017303,2018-01-30 22:35:225
123,7,1,HOT0013,HBP7A-1,3117021,3,13:00,16:20,29,2017304,2018-01-30 22:35:226
123,7,1,HOT0013,HBP7A-2,3117021,4,8:00,11:20,29,2017305,2018-01-30 22:35:227
123,7,1,HOT0013,HBP7B-1,3117021,4,13:00,16:20,29,2017306,2018-01-30 22:35:228
123,7,1,HOT0013,HBP7B-2,3117021,3,8:00,11:20,29,2017307,2018-01-30 22:35:229
125,7,1,HOT0015,HBP9C-1,3115006,3,8:00,11:20,30,2017308,2018-01-30 22:35:230
125,7,1,HOT0015,HBP9C-2,3115006,3,13:00,16:20,30,2017309,2018-01-30 22:35:231
125,7,1,HOT0015,HBP9A-1,3116051,4,8:00,11:20,30,2017310,2018-01-30 22:35:232
125,7,1,HOT0015,HBP9A-2,3116051,4,13:00,16:20,30,2017311,2018-01-30 22:35:233
125,7,1,HOT0015,HBP9B-1,3117079,2,8:00,11:20,30,2017312,2018-01-30 22:35:234
125,7,1,HOT0015,HBP9B-2,3117079,2,13:00,16:20,30,2017313,2018-01-30 22:35:235
