ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
3409,4,20142,31140020,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,70,60,,,75,70,73.25,B,1,2
3410,4,20142,31140021,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,69,90,,,92,76,84.20,A-,1,2
3412,4,20142,31140027,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,75,45,,,77,72,73.65,B,1,2
3416,4,20142,31140037,594,HBP2017T,"French A1-1 Theory","French A1-1 Theory",100,67,85,,,78,72.5,77.88,B+,1,2
3418,4,20142,31140001,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",90,82,70,,,82.5,68.1,76.91,B+,1,2
3419,4,20142,31140004,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",85,77,85,,,95,70,82.45,A-,1,2
3420,4,20142,31140005,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",65,71,75,,,62,40,56.80,C,1,2
3421,4,20142,31140006,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",75,27,45,,,69,60,59.85,C,1,2
3422,4,20142,31140008,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,76,95,,,74,68.8,76.58,B+,1,2
3423,4,20142,31140010,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",75,83,100,,,91,86.3,87.85,A,1,2
3424,4,20142,31140013,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",70,73,100,,,92,71.3,81.46,A-,1,2
3425,4,20142,31140015,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",30,70,50,,,47.5,53.8,50.46,D,1,2
3426,4,20142,31140016,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",65,59,,,,52,0,30.60,E,1,2
3427,4,20142,31140017,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",70,61,70,,,64,48.8,59.58,C,1,2
3428,4,20142,31140018,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,100,95,,,84,0,58.40,C,1,2
3429,4,20142,31140019,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",100,86,90,,,97.5,81.5,90.25,A,1,2
3430,4,20142,31140022,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,70,100,,,87.5,67.5,80.75,A-,1,2
3431,4,20142,31140023,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",100,88,95,,,95,75,87.80,A,1,2
3432,4,20142,31140025,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",95,89,100,,,94,83.8,90.63,A,1,2
3433,4,20142,31140026,595,HBP2017T,"French A1-1 Theory","French A1-1 Theory",80,42,56,,,72,65.7,66.00,B-,1,2
10962,7,20161,21140010,1312,UNI1003,"Rhetoric 1","Rhetoric 1",0,95,100,70,,81,85,79.10,B+,1,4
11028,7,20161,21140003,1312,UNI1003,"Rhetoric 1","Rhetoric 1",84,95,100,70,,65,0,41.30,D,1,4
9853,7,20161,22140010,1274,CEM1011,Physics,Physics,86,93,98,,,85,95,90.70,A,1,2
9854,7,20161,22140012,1274,CEM1011,Physics,Physics,99,93,97,,,98,95,96.45,A,1,2
10946,7,20161,22140018,1274,CEM1011,Physics,Physics,87,99,98,,,93,95,94.20,A,1,2
10947,7,20161,22140005,1274,CEM1011,Physics,Physics,74,45,100,,,100,94,89.80,A,1,2
10948,7,20161,22140006,1274,CEM1011,Physics,Physics,86,100,87,,,87,93,90.30,A,1,2
11122,7,20161,22140007,1274,CEM1011,Physics,Physics,50,79,98,,,97,92,88.85,A,1,2
